location_id,location_name
1,Pune
2,Ludhiana
3,Lucknow
4,Mangalore
5,Mumbai
6,Coimbatore
7,Bangalore
8,Delhi
9,Raipur
10,Kanpur
11,Patna
12,Vadodara
13,Hyderabad
14,Yamunanagar
15,Gurgaon
16,Jaipur
17,Deoghar
18,Agra
19,Goa
20,Warangal
21,Jalandhar
22,Noida
23,Ahmedabad
24,Mohali
25,Navi Mumbai
26,Ghaziabad
27,Kolkata
28,Zirakpur
29,Nagpur
30,Thane
31,Faridabad
32,Ranchi
33,Chandigarh
34,Amritsar
35,Chennai
36,Udupi
37,Panvel
38,Jamshedpur
39,Aurangabad
40,Rudrapur
41,Nashik
42,Varanasi
43,Salem
44,Dehradun
45,Valsad
46,Haldwani
47,Dharwad
48,Surat
49,Indore
50,Karnal
51,Panchkula
52,Mysore
53,Rohtak
54,Ambala Cantt
55,Samastipur
56,Unnao
57,Purnea
58,Bhubaneswar
59,Kheda
60,Kollam
61,Meerut
62,Ernakulam
63,Kharar
64,Mirzapur
65,Bhopal
66,Gorakhpur
67,Guwahati
68,Allahabad
69,Muzaffurpur
70,Faizabad
71,Kota
72,Pimpri-Chinchwad
73,Dak. Kannada
74,Ranga Reddy
75,Bulandshahar
76,Roorkee
77,Siliguri
